rfc_10_5,gbc_4-21,logistic,gbc_16-18,linear_2,mlp_5_0.001,result
0.0,1.0,0.0,0.0,0.0,1.0,0.690879929766
0.0,0.0,0.0,1.0,0.0,1.0,0.690896419299
0.0,1.0,0.0,1.0,1.0,1.0,0.690899249783
0.0,1.0,0.0,1.0,0.0,1.0,0.690900929006
0.0,1.0,1.0,1.0,0.0,1.0,0.690921418724
0.0,1.0,0.0,0.0,1.0,1.0,0.690922949667
0.0,0.0,0.0,1.0,1.0,1.0,0.690925629374
0.0,1.0,1.0,0.0,0.0,1.0,0.690934477109
0.0,0.0,1.0,1.0,0.0,1.0,0.690937712426
0.0,1.0,1.0,1.0,1.0,1.0,0.690948322606
1.0,1.0,0.0,1.0,1.0,1.0,0.690987496261
0.0,0.0,0.0,0.0,0.0,1.0,0.690989101839
0.0,0.0,1.0,1.0,1.0,1.0,0.690991906866
0.0,1.0,1.0,0.0,1.0,1.0,0.69099271734
1.0,1.0,1.0,1.0,0.0,1.0,0.691009820524
1.0,1.0,0.0,0.0,1.0,1.0,0.691010354054
1.0,1.0,0.0,1.0,0.0,1.0,0.691010959701
1.0,1.0,1.0,1.0,1.0,1.0,0.691012291823
1.0,0.0,0.0,1.0,1.0,1.0,0.691016210238
1.0,1.0,0.0,0.0,0.0,1.0,0.691016224133
0.0,0.0,1.0,0.0,0.0,1.0,0.691025002535
1.0,1.0,1.0,0.0,0.0,1.0,0.691029543346
1.0,0.0,0.0,1.0,0.0,1.0,0.691031327113
1.0,0.0,1.0,1.0,0.0,1.0,0.691035701785
1.0,1.0,1.0,0.0,1.0,1.0,0.691047112539
1.0,0.0,1.0,1.0,1.0,1.0,0.691049359837
0.0,0.0,0.0,0.0,1.0,1.0,0.691060410625
1.0,0.0,0.0,0.0,0.0,1.0,0.691061074407
1.0,0.0,0.0,0.0,1.0,1.0,0.691080880105
1.0,0.0,1.0,0.0,0.0,1.0,0.691087858777
0.0,1.0,1.0,1.0,1.0,0.0,0.691113937942
0.0,0.0,1.0,0.0,1.0,1.0,0.691115282846
0.0,1.0,0.0,1.0,1.0,0.0,0.691115939874
1.0,0.0,1.0,0.0,1.0,1.0,0.69112252405
0.0,1.0,1.0,1.0,0.0,0.0,0.691154907878
1.0,1.0,1.0,1.0,1.0,0.0,0.691160025625
1.0,1.0,0.0,1.0,1.0,0.0,0.691174111682
0.0,0.0,1.0,1.0,1.0,0.0,0.691208465111
1.0,1.0,1.0,1.0,0.0,0.0,0.69120866186
0.0,1.0,1.0,0.0,1.0,0.0,0.691214107283
0.0,0.0,0.0,1.0,1.0,0.0,0.691219488377
0.0,1.0,0.0,0.0,1.0,0.0,0.691222875174
1.0,1.0,1.0,0.0,1.0,0.0,0.691229089719
1.0,0.0,1.0,1.0,1.0,0.0,0.691230216222
1.0,1.0,0.0,0.0,1.0,0.0,0.691243703331
0.0,0.0,1.0,1.0,0.0,0.0,0.691245747599
0.0,1.0,1.0,0.0,0.0,0.0,0.691247706259
1.0,0.0,0.0,1.0,1.0,0.0,0.691249887668
1.0,1.0,1.0,0.0,0.0,0.0,0.691277292369
1.0,0.0,1.0,1.0,0.0,0.0,0.691284070841
1.0,1.0,0.0,1.0,0.0,0.0,0.691312210711
0.0,1.0,0.0,1.0,0.0,0.0,0.691325872198
1.0,0.0,1.0,0.0,1.0,0.0,0.691371000539
1.0,0.0,0.0,0.0,1.0,0.0,0.691411960103
1.0,0.0,1.0,0.0,0.0,0.0,0.691426560661
1.0,1.0,0.0,0.0,0.0,0.0,0.691427501902
1.0,0.0,0.0,1.0,0.0,0.0,0.69145223406
0.0,0.0,1.0,0.0,1.0,0.0,0.691493019099
0.0,0.0,1.0,0.0,0.0,0.0,0.69157194147
0.0,1.0,0.0,0.0,0.0,0.0,0.691644789573
0.0,0.0,0.0,1.0,0.0,0.0,0.691675672771
1.0,0.0,0.0,0.0,0.0,0.0,0.691700800658
0.0,0.0,0.0,0.0,1.0,0.0,0.691824405954
